MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
V* WX Ori	Flare*	05 34 07.32	-05 13 45.5	60	60	90	 	 	15.187	14.344	 	11.171	10.381	9.969	K6	 	 	 	34
BD-06  1253	Ae*	05 36 25.43150	-06 42 57.6855	32.1808	23.0555	90	4.1	-3.83	11.65	10.9	10.29	8.107	6.964	5.947	A1e	 	 	 	384
V* T Ori	Ae*	05 35 50.439	-05 28 34.94	70	60	0	4.5	-1.3	11.637	11.248	10.09	8.271	7.236	6.216	A3IVeb	 	 	 	214
HD  36982	Orion_V*	05 35 09.836	-05 27 53.33	113.11	106.69	0	1.2	2.5	8.58	8.46	 	7.743	7.636	7.472	B1.5Vp	 	 	 	162
V* V1133 Ori	RotV*alf2CVn	05 36 30.9608	-06 27 13.869	15.02	14.47	90	2.2	0	8.03	8.1	 	8.244	8.277	8.288	B9IV/V	 	 	 	67
V* KO Ori	Orion_V*	05 34 56.482	-05 31 36.16	70	60	0	 	 	14.726	13.683	12.84	10.324	9.646	9.37	A7	 	 	 	48
V* V585 Ori	Orion_V*	05 36 36.929	-06 33 24.15	70	60	90	 	 	18	16.159	16	11.774	10.62	9.663	K8	 	 	 	12
V* LY Ori	Orion_V*	05 35 13.76	-05 39 10.1	70	60	90	 	 	14.487	13.614	 	10.824	10.027	9.682	 	 	 	 	30
V* II Ori	Flare*	05 34 02.177	-05 36 19.52	130	60	0	 	 	15.825	14.617	16.1	10.83	9.94	9.551	K7	 	 	 	22
HD  37078	YSO	05 35 34.790	-06 05 00.82	80	60	0	-4.3	-9.9	9.51	9.41	 	9.178	9.176	9.18	A2V	 	 	 	27
Brun 508	*inNeb	05 35 03.6407	-05 59 00.869	36.44	35.73	90	0.9	-0.1	8.83	8.97	 	8.838	8.908	8.882	B9V	 	 	 	12
BD-05  1322	YSO	05 35 26.167	-05 48 16.64	70	70	90	 	 	9.94	9.77	 	9.382	9.32	9.301	A6Vn	 	 	 	18
HD  37150	V*	05 36 15.02745	-05 38 52.5242	5.0986	3.16724	90	0.59	-1.26	6.34	6.51	 	6.953	7.01	7.105	B3III/IV	 	 	 	88
2MASS J05360182-0533128	Star	05 36 01.83	-05 33 12.8	70	70	90	 	 	20.238	18.933	 	13.238	12.146	11.481	A2-A7	 	 	 	9
Brun 1018	*inNeb	05 36 38.7	-05 28 22	 	 	 	 	 	11.37	10.64	 	 	 	 	B6V	 	 	 	20
HD 294265	*inNeb	05 34 34.4720	-05 03 06.908	64.65	53.03	0	3.9	-5.6	10.8	10.6	 	9.695	9.64	9.552	A5	 	 	 	41
