MAIN_ID	OTYPE	RA	DEC	COO_ERR_MAJA	COO_ERR_MINA	COO_ERR_ANGLE	PMRA	PMDEC	B	V	R	J	H	K	SP_TYPE	GALDIM_MAJAXIS	GALDIM_MINAXIS	GALDIM_ANGLE	BIBLIST
----------------------	------	-------------	-------------	------	------	---	---------	---------	----------	----------	----------	----------	----------	----------	------	----	----	---	----
BD-06  1253	Ae*	05 36 25.43150	-06 42 57.6855	32.1808	23.0555	90	4.1	-3.83	11.65	10.9	10.29	8.107	6.964	5.947	A1e	 	 	 	384
HD  36982	Orion_V*	05 35 09.836	-05 27 53.33	113.11	106.69	0	1.2	2.5	8.58	8.46	 	7.743	7.636	7.472	B1.5Vp	 	 	 	162
HD  36958	Orion_V*	05 35 04.7883	-04 43 54.600	31.02	20.51	90	-2.5	2	7.22	6.9	 	7.354	7.407	7.419	B3/5V	 	 	 	81
HD  37357	Ae*	05 37 47.0785	-06 42 30.250	35.68	24.53	90	2.2	-0.6	8.96	8.85	 	8.405	7.947	7.368	A1V	 	 	 	81
HD 294264	Orion_V*	05 35 13.3469	-04 51 44.947	26.75	20.18	90	4	-3.8	10.02	9.77	 	8.086	7.744	7.582	B3	 	 	 	51
V* V982 Ori	Orion_V*	05 35 06.445	-05 33 35.19	70	60	0	 	 	16.755	15.853	14.39	11.01	9.677	8.717	M2	 	 	 	41
Brun 1018	*inNeb	05 36 38.7	-05 28 22	 	 	 	 	 	11.37	10.64	 	 	 	 	B6V	 	 	 	20
V* V585 Ori	Orion_V*	05 36 36.929	-06 33 24.15	70	60	90	 	 	18	16.159	16	11.774	10.62	9.663	K8	 	 	 	12
V* V823 Ori	Orion_V*	05 36 06.655	-06 32 17.18	70	60	0	 	 	17.4	16.921	15.2	12.126	10.66	9.682	K5	 	 	 	12
2MASS J05360182-0533128	Star	05 36 01.83	-05 33 12.8	70	70	90	 	 	20.238	18.933	 	13.238	12.146	11.481	A2-A7	 	 	 	9
V* V1903 Ori	Orion_V*	05 33 51.318	-05 23 16.45	80	60	0	 	 	 	 	 	12.663	10.72	9.513	 	 	 	 	5
