#Column _RAJ2000	(A10)		Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[pos.eq.ra]
#Column _DEJ2000	(A9)		Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[pos.eq.dec]
#Column HIP	(I6)		? Hipparcos identification (Cat. <I/239>) [NULL integer written as an empty string]	[]
#Column f_HIP	(A)		[1] Star with H{alpha} emission (see Table 3)	[]
#Column Name	(A)		Stellar name	[]
#Column SpType	(A2)		Spectral type	[]
#Column e_SpType	Error in SpType	[]
#Column AV	(F5.2)		Extinction in the V band	[]
#Column e_AV	(F5.2)		The 1{sigma} error in AV	[]
#Column Jmag	(F5.2)		The J band magnitude (1)	[]
#Column J-H	(F5.2)		The (J-H) color index (1)	[]
#Column H-Ks	(F5.2)		The (H-K_S_) color index (1)	[]
#Column logT	(F5.2)		Log of the stellar effective temperature	[]
#Column logL	(F5.2)		Log of the stellar luminosity	[]
#Column Mass	(F4.1)		? Stellar mass	[]
#Column Simbad	(A)		ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[]
#Column _RA	(F8.4)		Right Ascension (J2000) from SIMBAD (not part of the original data)	[pos.eq.ra;meta.main]
#Column _DE	(F8.4)		Declination (J2000) from SIMBAD (not part of the original data)	[pos.eq.dec;meta.main]
#Column Loc	(A)		Location (association name)	[]
_RAJ2000	_DEJ2000	HIP	f_HIP	Name	SpType	e_SpType	AV	e_AV	Jmag	J-H	H-Ks	logT	logL	Mass	Simbad	_RA	_DE	Loc
"h:m:s"	"d:m:s"						mag	mag	mag	mag	mag	[K]	[solLum]	solMass		deg	deg	
05 05 04.2	-01 18 41	23659		HD32720	A0	1	0.12	0.15	9.01	0.03	0.05	4.0	1.52	2.4	Simbad	76.2673	-1.3114	Orion OB1a
05 05 54.6	+01 51 08	23714		HD32816	A0	1	0.16	0.14	8.11	-0.04	0.01	4.0	1.92	2.8	Simbad	76.4775	1.8522	Orion OB1a
05 19 03.5	+00 26 19	24803		HD34637	A0	1	0.07	0.17	9.38	0.02	0.05	3.99	1.35	2.2	Simbad	79.7645	0.4385	Orion OB1a
05 19 40.1	-01 21 22	24851		HD290240	A0	1	0.13	0.14	9.02	-0.04	0.07	4.0	1.49	2.3	Simbad	79.9171	-1.3562	Orion OB1a
05 22 57.8	-02 08 59	25152		HD35195	A0	1	0.33	0.15	8.92	0.01	0.02	3.99	1.57	2.4	Simbad	80.7408	-2.1497	Orion OB1a
05 27 15.8	+05 01 09	25507		HD35773	A0	2	0.07	0.29	9.75	-0.01	-0.06	3.98	1.17	2.2	Simbad	81.8159	5.0192	Orion OB1a
05 33 27.4	+02 39 06	26055		HD36654	A0	1	0.19	0.16	9.07	0.0	0.04	4.0	1.57	2.4	Simbad	83.3643	2.6516	Orion OB1a
05 39 43.2	+00 54 27	26637		HD37592	A0	1	0.0	0.13	8.38	-0.07	0.01	4.0	1.72	2.7	Simbad	84.9302	0.9076	Orion OB1a
05 40 17.1	+00 58 21	26687		HD37659	A0	2	0.31	0.2	8.63	-0.02	0.06	3.98	1.65	2.5	Simbad	85.0713	0.9724	Orion OB1a
05 32 49.8	-02 11 49	25992		HD36617	A0	1	0.14	0.16	8.34	-0.06	0.08	3.99	2.04	3.0	Simbad	83.2073	-2.197	Orion OB1bc
05 35 37.5	-03 34 42	26265		HD37057	A0	1	0.14	0.16	9.11	0.08	0.03	4.0	1.7	2.6	Simbad	83.9061	-3.5784	Orion OB1bc
05 40 40.6	-03 55 11	26716		HD37745	A0	1	0.17	0.15	9.12	-0.02	0.03	4.0	1.76	2.6	Simbad	85.1692	-3.9198	Orion OB1bc
05 42 58.8	-04 49 58	26934		HD38088	A0	1	0.6	0.18	9.16	0.06	0.03	4.0	1.73	2.6	Simbad	85.745	-4.8328	Orion OB1bc
05 43 11.9	-04 59 50	26955	1	HD38120	A0	2	0.13	0.26	8.43	0.58	0.69	3.98	1.74	2.6	Simbad	85.7996	-4.9972	Orion OB1bc
05 44 48.6	-00 03 43	27101		HD38311	A0	2	0.16	0.22	8.61	0.01	0.0	3.98	1.89	2.8	Simbad	86.2025	-0.0619	Orion OB1bc
05 46 12.4	-01 31 25	27226		HD38506	A0	2	0.17	0.22	9.43	-0.03	0.08	3.98	1.6	2.5	Simbad	86.5518	-1.5235	Orion OB1bc
05 46 43.2	+02 42 26	27261		HD38528	A0	1	0.8	0.16	7.13	0.07	0.08	4.0	2.56	4.5	Simbad	86.68	2.7074	Orion OB1bc
05 49 53.7	-00 11 01	27536		HD39034	A0	1	0.17	0.19	9.33	0.03	0.0	4.0	1.69	2.6	Simbad	87.4737	-0.1836	Orion OB1bc
05 50 24.1	+01 46 43	27574		HD39103	A0	1	0.15	0.17	8.96	-0.06	0.04	3.99	1.76	2.6	Simbad	87.6006	1.7787	Orion OB1bc
05 55 57.3	+00 50 10	28056		HD39953	A0	2	0.31	0.22	6.9	0.01	0.07	3.98	2.58	4.7	Simbad	88.9888	0.8361	Orion OB1bc
05 59 35.6	-04 20 15	28367		HD40575	A0	1	0.23	0.19	9.43	0.0	0.02	3.99	1.64	2.5	Simbad	89.8984	-4.3375	Orion OB1bc
05 03 21.7	-00 00 16	23515		HD289883	A1	2	0.2	0.31	10.05	0.0	0.03	3.96	1.05	2.0	Simbad	75.8404	-0.0045	Orion OB1a
05 05 01.0	+02 38 44	23654		HD32663	A1	2	0.0	0.23	8.57	-0.06	0.0	3.96	1.58	2.4	Simbad	76.2543	2.6455	Orion OB1a
05 14 37.0	+02 33 49	24442		HD34035	A1	2	0.04	0.26	9.09	0.0	0.02	3.97	1.38	2.1	Simbad	78.6542	2.5637	Orion OB1a
05 22 38.8	-01 02 34	25121		HD35153	A1	2	0.21	0.17	8.74	-0.05	0.04	3.96	1.52	2.3	Simbad	80.6617	-1.0428	Orion OB1a
05 28 10.5	-01 46 18	25594		HD35948	A1	2	0.06	0.2	8.24	0.04	0.01	3.97	1.74	2.6	Simbad	82.0436	-1.7718	Orion OB1a
05 31 21.2	-02 05 57	25870		HD36394	A1	2	0.2	0.27	8.38	-0.02	-0.05	3.97	2.15	3.4	Simbad	82.8384	-2.0992	Orion OB1bc
05 34 23.7	+05 25 11	26136		HD36797	A1	2	0.11	0.49	8.14	0.0	0.06	3.97	2.04	3.0	Simbad	83.5988	5.4198	Orion OB1bc
05 56 26.6	-01 49 27	28109		HD40067	A1	2	0.1	0.28	8.52	-0.04	0.06	3.96	1.81	2.7	Simbad	89.1108	-1.8242	Orion OB1bc
05 13 26.8	-02 37 37	24342		HD33917	A2	2	0.1	0.23	8.94	0.04	0.09	3.96	1.36	2.1	Simbad	78.3618	-2.627	Orion OB1a
05 18 29.9	+02 05 29	24757		HD34561	A2	2	0.0	0.25	9.45	-0.01	0.03	3.95	1.12	1.9	Simbad	79.6247	2.0914	Orion OB1a
05 30 52.6	+01 36 41	25828		HD36311	A2	2	0.1	0.23	8.68	-0.03	0.04	3.96	1.66	2.5	Simbad	82.719	1.6114	Orion OB1a
05 16 06.6	-04 27 51	24556		HD34271	A2	4	0.56	0.36	9.12	0.05	0.04	3.95	1.68	2.6	Simbad	79.0275	-4.4641	Orion OB1bc
05 38 09.2	-00 10 56	26500	1	HD37371	A2	2	0.23	0.22	8.04	0.15	0.35	3.95	1.95	2.9	Simbad	84.5384	-0.1822	Orion OB1bc
