shell low_sigma hi_sigma step_sigma vmin vmax scalebar_pc scalebar_corner label_offset_ra label_offset_dec molecule ir 
1 81 96 5 3000 11000 0.1 bottom -0.0026 -0.0035 12co irac4
2 115 130 3 1500 3000 0.1 bottom -0.0026 -0.0035 12co irac4
3 90.2 120.2 5 1500 4000 0.1 bottom -0.0026 -0.0035 12co irac4
4 75 150 15 4000 18000 0.1 bottom -0.0026 -0.0035 12co irac4
5 60 100 10 18 27 0.1 bottom -0.0026 -0.0035 12co planck_herschel
6 50 80 6 200 1000 0.2 'bottom left' -0.002 +0.0023 12co irac1
7 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
8 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
9 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
10 10 22 2 0 70000 0.1 bottom -0.0026 -0.0035 13co irac4
11 35 75 8 0 70000 0.1 bottom -0.0026 -0.0035 12co irac4
12 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
13 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
14 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
15 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
16 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
17 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
18 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
19 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
20 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
21 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
22 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
23 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
24 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
25 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
26 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
27 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
28 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
29 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
30 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
31 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
32 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
33 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
34 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
35 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
36 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
37 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
38 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
39 20.01 40.01 5 0 5000 0.1 bottom -0.0026 -0.0035 13co irac4
40 20.01 32.01 3 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
41 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
42 20 40 5 0 5000 0.1 bottom -0.0026 -0.0035 12co irac4
