#Estimated by eye, from Shell Scores spreadsheet.
#shell r(pc) r_sig dr(pc) dr_sig vexp(km/s) vexp_sig vsys(km/s) vsys_sig
5  0.145 0.015 0.125 0.025 1.25 0.25 10.0 0.10
6  0.275 0.025 0.150 0.050 1.50 0.50 7.55 0.25
9  0.250 0.050 0.250 0.050 0.85 0.15 8.00 0.10
11 0.175 0.025 0.200 0.050 1.75 0.75 10.4 0.60
17 0.350 0.020 0.200 0.050 3.00 1.00 11.0 0.50
18 0.170 0.010 0.200 0.050 3.00 1.00 14.25 0.75
21 0.120 0.020 0.075 0.025 1.15 0.15 11.7 0.20
24 0.220 0.020 0.115 0.015 2.00 1.00 8.80 0.80
25 0.335 0.035 0.275 0.025 1.00 0.20 8.50 0.20
30 0.350 0.050 0.250 0.050 2.00 0.50 6.50 0.50
37 0.150 0.050 0.175 0.075 3.50 0.50 7.75 0.25
38 0.250 0.020 0.170 0.030 2.95 0.25 10.85 0.15
