#Estimated by eye, from Shell Scores spreadsheet.
#shell r(pc) r_sig dr(pc) dr_sig vexp(km/s) vexp_sig vsys(km/s) vsys_sig
1.000 0.280 0.020 0.300 0.050 1.000 0.300 7.650 0.250
2.000 0.300 0.050 0.150 0.050 1.000 0.500 5.750 0.250
3.000 0.650 0.050 0.300 0.100 3.000 1.000 8.750 0.750
4.000 0.500 0.100 0.350 0.050 3.500 0.500 7.000 1.000
5.000 0.145 0.015 0.125 0.025 1.250 0.250 10.000 0.100
6.000 0.275 0.025 0.150 0.050 1.500 0.500 7.550 0.250
7.000 0.175 0.025 0.150 0.050 2.500 0.500 11.000 0.300
8.000 0.300 0.050 0.250 0.050 1.700 0.500 9.500 0.200
9.000 0.250 0.050 0.250 0.050 0.850 0.150 8.000 0.100
10.000 0.350 0.050 0.250 0.050 2.500 0.700 7.500 0.500
11.000 0.175 0.025 0.200 0.050 1.750 0.750 10.400 0.600
12.000 0.150 0.030 0.150 0.050 2.000 0.402 10.700 0.500
13.000 0.300 0.050 0.315 0.035 1.650 0.150 7.750 0.250
14.000 0.170 0.020 0.125 0.025 1.200 0.200 3.750 0.250
15.000 0.550 0.050 0.190 0.040 1.800 0.300 10.100 0.300
16.000 0.210 0.040 0.190 0.020 1.400 0.500 13.500 0.500
17.000 0.350 0.020 0.200 0.050 3.000 1.000 11.000 0.500
18.000 0.170 0.010 0.200 0.050 3.000 1.000 14.250 0.750
19.000 0.180 0.020 0.180 0.020 1.300 0.300 10.000 0.300
20.000 0.130 0.020 0.200 0.050 1.500 0.500 11.500 0.500
21.000 0.120 0.020 0.075 0.025 1.150 0.150 11.700 0.200
22.000 0.100 0.010 0.100 0.010 0.800 0.200 11.400 0.200
23.000 0.110 0.030 0.095 0.015 1.100 0.200 11.500 0.200
24.000 0.220 0.020 0.115 0.015 2.000 1.000 8.800 0.800
25.000 0.335 0.035 0.275 0.025 1.000 0.200 8.500 0.200
26.000 0.180 0.020 0.125 0.025 2.000 1.000 7.500 0.500
27.000 0.280 0.030 0.150 0.050 1.000 0.500 9.000 0.500
28.000 0.350 0.050 0.250 0.050 1.750 0.250 9.300 0.300
29.000 0.150 0.050 0.175 0.025 1.750 0.250 13.750 0.250
30.000 0.350 0.050 0.250 0.050 2.000 0.500 6.500 0.500
31.000 0.550 0.050 0.275 0.025 1.000 0.500 8.000 0.200
32.000 0.290 0.030 0.250 0.050 2.100 0.300 9.600 0.300
33.000 0.235 0.035 0.235 0.035 2.000 1.000 7.000 1.000
34.000 0.250 0.050 0.250 0.050 1.350 0.150 7.200 0.200
35.000 0.650 0.050 0.550 0.050 5.000 1.000 6.000 1.000
36.000 0.150 0.050 0.175 0.075 3.500 0.500 7.750 0.250
37.000 0.250 0.020 0.170 0.030 2.950 0.250 10.850 0.150
38.000 0.220 0.040 0.230 0.030 2.000 0.500 13.000 0.500
39.000 0.550 0.050 0.550 0.050 1.500 0.500 7.000 1.000
40.000 0.850 0.050 0.850 0.050 2.300 0.300 8.700 0.300
41.000 0.260 0.020 0.220 0.020 1.500 0.500 7.700 0.300
42.000 0.125 0.025 0.125 0.025 1.500 0.500 11.100 0.300
