#shell r r_sig dr dr_sig vexp vexp_sig vsys vsys_sig
#- pc pc pc pc km/s km/s km/s km/s
#Estimated by eye, from Shell Scores spreadsheet.
#Reordered from North to South.
1 0.180 0.020 0.180 0.020 1.30 0.30 10.00 0.30
2 0.100 0.010 0.100 0.010 0.80 0.20 11.40 0.20
3 0.110 0.030 0.095 0.015 1.10 0.20 11.50 0.20
4 0.130 0.020 0.200 0.050 1.50 0.50 11.50 0.50
5 0.120 0.020 0.075 0.025 1.15 0.15 11.70 0.20
6 0.220 0.020 0.115 0.015 2.00 1.00 8.80 0.80
7 0.170 0.010 0.200 0.050 3.00 1.00 14.25 0.75
8 0.150 0.050 0.175 0.025 1.75 0.25 13.75 0.25
9 0.850 0.050 0.850 0.050 2.30 0.30 8.70 0.30
10 0.350 0.020 0.200 0.050 3.00 1.00 11.00 0.50
11 0.220 0.040 0.230 0.030 2.02 0.50 13.00 0.50
12 0.150 0.050 0.175 0.075 3.50 0.50 7.75 0.25
13 0.350 0.050 0.250 0.050 2.00 0.50 6.50 0.50
14 0.210 0.040 0.190 0.020 1.40 0.50 13.50 0.50
15 0.550 0.050 0.550 0.050 1.50 0.50 7.00 1.00
16 0.180 0.020 0.125 0.025 2.00 1.00 7.50 0.50
17 0.250 0.050 0.250 0.050 1.35 0.15 7.20 0.20
18 0.350 0.050 0.250 0.050 1.75 0.25 9.31 0.30
19 0.650 0.050 0.550 0.050 5.00 1.00 6.00 1.00
20 0.145 0.015 0.125 0.025 1.25 0.25 10.00 0.10
21 0.500 0.100 0.350 0.050 3.50 0.50 7.00 1.00
22 0.550 0.050 0.190 0.040 1.80 0.30 10.11 0.30
23 0.650 0.050 0.300 0.100 3.00 1.00 8.75 0.75
24 0.235 0.035 0.235 0.035 2.00 1.00 7.00 1.00
25 0.275 0.025 0.150 0.050 1.50 0.50 7.55 0.25
26 0.175 0.025 0.150 0.050 2.50 0.50 11.00 0.30
27 0.300 0.050 0.150 0.050 1.00 0.50 5.75 0.25
28 0.300 0.050 0.250 0.050 1.70 0.50 9.50 0.20
29 0.170 0.020 0.125 0.025 1.20 0.20 3.76 0.25
30 0.335 0.035 0.275 0.025 1.00 0.20 8.50 0.20
31 0.300 0.050 0.315 0.035 1.65 0.15 7.75 0.25
32 0.260 0.020 0.220 0.020 1.50 0.50 7.70 0.30
33 0.150 0.030 0.150 0.050 2.00 0.40 10.70 0.50
34 0.290 0.030 0.250 0.050 2.10 0.30 9.60 0.30
35 0.250 0.050 0.250 0.050 0.85 0.15 8.00 0.10
36 0.550 0.050 0.275 0.025 1.00 0.50 8.00 0.20
37 0.350 0.050 0.250 0.050 2.50 0.70 7.50 0.50
38 0.280 0.030 0.150 0.050 1.00 0.50 9.00 0.50
39 0.250 0.020 0.170 0.030 2.95 0.25 11.95 0.25
40 0.050 0.025 0.100 0.025 1.50 0.50 11.10 0.30
41 0.175 0.025 0.200 0.050 1.75 0.75 10.40 0.60
42 0.280 0.020 0.300 0.050 1.00 0.30 7.65 0.25
