Shell&Mass&Momentum&Energy&Mechanical Luminosity&Momentum Injection Rate&Wind Mass Loss Rate&Wind Energy Injection Rate\\
Name&[M$_\odot$]&[10 M$_\odot$ km s$^{-1}$]&[$10^{44}$ erg]&[$10^{31}$ erg s$^{-1}$]&[$10^{-4}$ M$_\odot$ km s$^{-1}$ yr$^{-1}$]&[$10^{-7}$ M$_\odot$ yr$^{-1}$]&[$10^{31}$ erg s$^{-1}$]\\
$1$&$3~[1, 7]$&$4~[1, 15]$&$0.5~[0.1, 2]$&$0.5~[0.1, 2]$&$0.2~[0, 0.5]$&$0.2~[0.1, 0.7]$&$0.4~[0.1, 1]$\\
$2$&$39~[17, 69]$&$39~[9, 103]$&$4~[0.4, 15]$&$4~[0.5, 17]$&$1~[0.3, 4]$&$2~[0.4, 5]$&$4~[0.8, 9]$\\
$3$&$20~[13, 30]$&$23~[12, 39]$&$2~[1, 5]$&$4~[2, 8]$&$1~[0.6, 2]$&$1~[0.6, 2]$&$2~[1, 4]$\\
$4$&$15~[9, 23]$&$17~[9, 30]$&$2~[0.9, 4]$&$4~[2, 9]$&$1~[0.6, 2]$&$0.8~[0.4, 1]$&$2~[0.8, 3]$\\
$5$&$43~[23, 65]$&$65~[23, 129]$&$10~[2, 26]$&$27~[6, 72]$&$6~[2, 11]$&$3~[1, 6]$&$6~[2, 12]$\\
$6$&$53~[34, 79]$&$53~[27, 94]$&$5~[2, 11]$&$9~[4, 20]$&$3~[2, 5]$&$3~[1, 5]$&$5~[2, 9]$\\
$7$&$10~[5, 14]$&$19~[5, 43]$&$4~[0.5, 13]$&$18~[2, 60]$&$3~[0.8, 6]$&$1~[0.3, 2]$&$2~[0.5, 4]$\\
$8$&$99~[61, 144]$&$174~[92, 288]$&$30~[14, 57]$&$55~[25, 105]$&$10~[5, 17]$&$9~[5, 14]$&$16~[8, 26]$\\
$9$&$184~[48, 304]$&$736~[48, 1521]$&$293~[5, 756]$&$323~[5, 833]$&$26~[2, 53]$&$37~[2, 76]$&$67~[4, 139]$\\
$10$&$21~[13, 33]$&$63~[36, 105]$&$13~[7, 25]$&$31~[17, 57]$&$5~[3, 8]$&$3~[2, 5]$&$6~[3, 10]$\\
$11$&$111~[69, 151]$&$166~[69, 302]$&$25~[7, 60]$&$80~[22, 195]$&$17~[7, 31]$&$8~[3, 15]$&$15~[6, 28]$\\
