MAIN_ID RA DEC RA_PREC DEC_PREC COO_ERR_MAJA COO_ERR_MINA COO_ERR_ANGLE COO_QUAL COO_WAVELENGTH COO_BIBCODE SP_TYPE SP_QUAL SP_BIBCODE SP_LETTER
"b'HD  37258'" 84.24687666666665 -6.154544722222223 8 8 30.500 19.950 90 B "" b'1998A&A...335L..65H' b'A3Ve' C b'2013A&A...551A..77T' A
"b'* tet01 Ori A'" 83.81595833333331 -5.387250000000001 6 6 -- -- 0 C R b'2014ApJ...790...49K' b'B0V' C b'1977ApJS...34..115W' B
"b'HD  37373'" 84.46180375 -6.722095555555556 8 8 28.100 14.820 90 B "" b'1998A&A...335L..65H' b'B8(V)' D b'1999MSS...C05....0H' B
"b'BD-06  1235'" 83.76729874999998 -6.285373055555556 8 8 34.510 25.560 0 B "" b'1998A&A...335L..65H' b'F8.0' D b'2013ApJ...764..114H' F
"b'HD  36982'" 83.79098333333332 -5.464813888888889 7 7 113.110 106.690 0 B "" b'1988A&AS...74..449R' b'B1.5Vp' C b'' B
"b'HD 294264'" 83.80561208333333 -4.862485277777777 8 8 26.750 20.180 90 B "" b'1998A&A...335L..65H' b'B3' E b'1995A&AS..110..367N' B
"b'Brun 444'" 83.72666249999997 -6.033902777777778 7 7 70.000 70.000 90 B I b'2003yCat.2246....0C' b'F8IV' D b'2001A&A...373..159C' F
"b'Parenago  2649'" 84.53879999999998 -6.821283333333333 7 7 80.000 60.000 0 B I b'2003yCat.2246....0C' b'A5e' D b'2003AJ....126.2971V' A
"b'Brun 1073'" 84.30594958333333 -5.674141111111111 8 8 140.350 82.190 0 B "" b'1998A&A...335L..65H' b'A3' D b'' A
"b'HD  36999'" 83.80837208333332 -5.826742222222222 8 8 51.660 17.070 0 B "" b'1998A&A...335L..65H' b'B8(III)' D b'1999MSS...C05....0H' B
"b'* iot Ori'" 83.85825791666664 -5.909900833333333 9 9 1.850 1.140 90 A O b'2007A&A...474..653V' b'O9IIIvar' C b'2011ApJS..193...24S' O
