#shell vmin vmax
1 6.1 8.0
2 4.2 6.5
3 7.5 10.4
4 3.3 8.0
5 9.1 11.3
6 5.0 9.0
7 5.3 11.6
8 7.7 10.2
9 7.0 9.1
10 4.9 10.1
11 6.4 10.2
12 8.4 11.4
13 7.4 9.5
14 3.0 4.7
15 7.9 10.0
16 11.9 14.2
17 8.5 13.5
18 11.8 13.9
19 10.0 12.5
20 11.5 12.5
21 10.9 11.9
22 10.8 11.6
23 10.8 11.7
24 8.6 10.6
25 7.6 9.4
26 6.4 8.7
27 8.0 10.0
28 7.7 9.1
29 12.5 14.0
30 6.7 8.6
31 7.3 8.3
32 7.7 9.9
33 4.4 6.0
34 7.1 7.7
35 4.4 13.3
36 7.3 8.1
37 9.0 11.0
38 11.7 13.4
39 6.8 8.2
40 8.2 10.0
41 7.5 8.6
42 9.3 11.8
