#shell vmin vmax
1 10.0 12.5
2 10.8 11.6
3 10.8 11.7
4 11.5 12.5
5 10.9 11.9
6 8.6 10.6
7 11.8 13.9
8 12.5 14.0
9 8.2 10.0
10 8.5 13.5
11 11.7 13.4
12 7.3 8.1
13 6.7 8.6
14 11.9 14.2
15 6.8 8.2
16 6.4 8.7
17 7.1 7.7
18 7.7 9.1
19 4.4 13.3
20 9.1 11.3
21 3.3 8.0
22 7.9 10.0
23 7.5 10.4
24 4.4 6.0
25 5.0 9.0
26 5.3 11.6
27 4.2 6.5
28 7.7 10.2
29 3.0 4.7
30 7.6 9.4
31 7.4 9.5
32 7.5 8.6
33 8.4 11.4
34 7.7 9.9
35 7.0 9.1
36 7.3 8.3
37 4.9 10.1
38 8.0 10.0
39 9.0 11.0
40 9.3 11.8
41 6.4 10.2
42 6.1 8.0
